A_Abrir,A_Alto,A_Baixo,A_Fechar,A_Volume,A_Cap
12300,12800,12300,12600,2900,22400
11500,12400,11400,12300,2400,21900
11300,11600,11200,11500,2000,20400
11000,11700,11000,11300,2200,20000
11300,11400,10900,11000,2400,19600
12000,12100,11200,11300,2600,20000
10900,12000,10900,12000,3100,21300
10600,11000,9800,10900,3200,19300
10800,11300,10100,10600,3000,18900
12000,12200,10800,10900,2800,19300
12500,12500,11600,12000,3000,21300
11200,12500,11000,12500,3600,22100
13100,13400,10500,11200,4000,19900
11800,13800,11800,13100,4600,23200
11100,11800,11100,11800,2500,21000
10900,11100,10700,11100,2000,19600
10700,11300,10600,10900,2100,19300
10200,11200,10200,10800,3000,19100
9600,10200,9600,10200,2100,18100
9300,9600,9300,9600,1800,17000
9100,9300,9100,9300,1600,16500
9400,9400,9100,9100,1600,16200
9000,9500,9000,9400,1600,16600
8900,9400,8900,9000,2400,16000
8700,8900,8700,8900,1900,15700
8300,8800,8200,8700,2000,15500
8200,8400,8100,8300,1900,14700
8000,8200,7900,8200,2000,14500
8100,8100,7800,8000,1800,14100
7700,8100,7600,8100,1900,14300
8000,8000,7600,7700,1700,13700
8100,8100,7900,8000,1700,14200
7900,8200,7800,8100,2000,14300
7900,8000,7600,7900,2000,13900
7800,8000,7700,7900,2200,13900
8300,8300,7600,7800,2500,13700
8800,8800,8300,8300,2300,14600
8600,8900,8600,8800,2100,15600
8600,8700,8500,8600,2300,15200
8400,8600,8200,8600,2600,15300
8700,9100,8300,8400,3000,14800
8800,8800,8500,8700,2400,15400
8900,8900,8700,8800,2500,15500
8700,9000,8700,8900,2800,15700
8100,8700,8000,8700,2700,15400
8000,8200,8000,8100,2300,14300
7900,8200,7900,8000,2600,14200
7700,8000,7600,7900,2500,14000
8000,8000,7700,7700,2500,13700
8000,8100,7900,8000,2600,14200
8200,8300,7700,8000,2400,14200
7300,8300,7300,8200,2600,14600
7400,7500,7300,7300,2200,12900
7900,8000,7100,7400,3100,13100
8200,8400,7800,7900,3400,14000
8000,8300,7900,8300,2900,14600
7900,8300,7700,8000,3300,14200
7000,8100,6900,7900,2900,13900
7300,7600,6900,7000,2800,12400
6400,7400,6400,7300,2900,12800
6200,6500,6200,6400,2000,11300
6000,6200,6000,6200,1700,11000
5900,6000,5800,6000,1600,10600
5800,6000,5800,5900,1900,10400
5800,5900,5700,5800,1600,10200
5900,5900,5800,5800,1500,10300
5800,5900,5700,5900,1800,10400
5600,5900,5500,5800,1900,10200
