AltaBaixa,A_Abrir,A_Alto,A_Baixo,A_Fechar,A_Volume,A_Cap
1,10143,10233,9832,10132,1800.00,18200.00
0,10765,10799,9963,10139,2000.00,18200.00
0,10917,10948,10619,10764,1600.00,19300.00
0,10351,10917,10314,10917,1700.00,19600.00
1,10234,10488,10120,10346,1300.00,18600.00
1,10359,10453,10087,10232,1400.00,18300.00
0,10320,10525,9856,10375,2100.00,18600.00
1,10039,10438,9676,10312,2300.00,18500.00
1,10890,10890,10029,10052,2000.00,18000.00
0,11386,11421,10831,10896,1700.00,19500.00
0,11529,11529,11321,11383,1400.00,20400.00
0,11350,11524,11249,11524,1600.00,20600.00
1,11862,11916,11324,11355,1900.00,20300.00
0,11954,11971,11710,11863,1900.00,21200.00
0,11955,11980,11557,11967,2000.00,21400.00
1,11477,12037,11434,11942,2300.00,21400.00
1,11812,12274,11291,11479,2400.00,20600.00
0,10961,11896,10961,11806,2400.00,21100.00
1,10822,11010,10621,10971,1700.00,19600.00
1,10520,10947,10504,10822,1600.00,19400.00
1,10403,10658,10372,10519,1800.00,18800.00
1,10078,10447,9923,10400,1800.00,18600.00
1,9605,10086,9599,10086,1700.00,18100.00
1,9523,9702,9438,9608,1400.00,17200.00
1,9549,9682,9473,9520,1400.00,17000.00
0,9492,9576,9253,9553,1400.00,17100.00
1,9872,10168,9412,9478,1700.00,17000.00
0,9914,9917,9718,9871,1500.00,17700.00
0,9810,10155,9774,9912,1600.00,17700.00
1,9888,9909,9615,9812,1800.00,17600.00
0,10347,10347,9884,9901,1800.00,17700.00
0,10597,10652,10155,10344,1700.00,18500.00
0,10778,10842,10390,10600,1800.00,18900.00
0,10526,11049,10452,10768,2100.00,19200.00
1,10654,10717,10230,10531,2100.00,18800.00
0,9699,10737,9377,10667,2600.00,19100.00
1,9472,9964,9164,9694,2500.00,17300.00
1,10897,10997,9449,9478,2500.00,16900.00
0,10258,11053,9993,10896,2600.00,19500.00
1,11382,11452,10235,10257,2300.00,18300.00
0,11814,11842,10909,11393,2200.00,20300.00
0,11355,11906,11180,11816,2400.00,21100.00
1,12140,12145,11159,11359,2900.00,20300.00
0,12572,13130,11711,12157,3400.00,21700.00
0,12285,12780,12234,12574,2900.00,22400.00
1,11447,12346,11394,12286,2400.00,21900.00
1,11218,11542,11149,11451,2000.00,20400.00
1,10983,11621,10983,11209,2200.00,20000.00
1,11204,11396,10875,10979,2400.00,19600.00
0,11973,12007,11167,11216,2600.00,20000.00
0,10819,11969,10819,11962,3100.00,21300.00
1,10589,10913,9738,10802,3200.00,19300.00
1,10797,11207,10090,10584,3000.00,18900.00
0,11932,12179,10800,10818,2800.00,19300.00
0,12401,12401,11509,11960,3000.00,21300.00
0,11163,12446,10915,12408,3600.00,22100.00
1,13018,13312,10492,11183,4000.00,19900.00
0,11779,13797,11756,13017,4600.00,23200.00
1,11008,11791,11008,11791,2500.00,21000.00
1,10854,11066,10611,11012,2000.00,19600.00
1,10697,11247,10557,10856,2100.00,19300.00
1,10176,11158,10108,10702,3000.00,19100.00
1,9526,10145,9526,10145,2100.00,18100.00
1,9274,9595,9233,9528,1800.00,17000.00
1,9079,9300,9071,9274,1600.00,16500.00
1,9336,9349,9005,9082,1600.00,16200.00
0,8989,9417,8989,9321,1600.00,16600.00
1,8842,9336,8815,8995,2400.00,16000.00
1,8690,8860,8619,8839,1900.00,15700.00
1,8231,8711,8184,8694,2000.00,15500.00
1,8146,8312,8088,8231,1900.00,14700.00
1,7926,8197,7863,8146,2000.00,14500.00
1,8005,8027,7773,7928,1800.00,14100.00
0,7693,8032,7587,8001,1900.00,14300.00
1,7950,7976,7584,7689,1700.00,13700.00
0,8037,8077,7838,7955,1700.00,14200.00
0,7827,8127,7789,8044,2000.00,14300.00
1,7820,7938,7572,7823,2000.00,13900.00
0,7705,7902,7669,7825,2200.00,13900.00
1,8211,8211,7565,7708,2500.00,13700.00
0,8742,8744,8205,8209,2300.00,14600.00
0,8566,8810,8562,8743,2100.00,15600.00
1,8574,8626,8482,8565,2300.00,15200.00
0,8321,8587,8173,8575,2600.00,15300.00
1,8662,9009,8222,8320,3000.00,14800.00
0,8719,8756,8483,8660,2400.00,15400.00
0,8803,8808,8635,8720,2500.00,15500.00
0,8675,8908,8669,8806,2800.00,15700.00
1,8056,8688,7925,8674,2700.00,15400.00
1,7992,8118,7966,8053,2300.00,14300.00
1,7882,8141,7825,7988,2600.00,14200.00
1,7678,7944,7534,7882,2500.00,14000.00
1,7957,7998,7616,7681,2500.00,13700.00
0,7978,8063,7844,7964,2600.00,14200.00
0,8197,8201,7679,7979,2400.00,14200.00
0,7268,8262,7268,8198,2600.00,14600.00
1,7342,7448,7252,7272,2200.00,12900.00
0,7887,7930,7039,7344,3100.00,13100.00
0,8195,8321,7730,7885,3400.00,14000.00
0,7990,8217,7900,8206,2900.00,14600.00
1,7808,8269,7697,7995,3300.00,14200.00
1,6972,8048,6899,7815,2900.00,13900.00
1,7204,7504,6816,6973,2800.00,12400.00
0,6380,7333,6376,7205,2900.00,12800.00
1,6176,6435,6162,6379,2000.00,11300.00
1,5983,6184,5983,6175,1700.00,11000.00
1,5850,5990,5795,5983,1600.00,10600.00
1,5746,5989,5742,5830,1900.00,10400.00
1,5792,5803,5654,5747,1600.00,10200.00
0,5832,5834,5709,5796,1500.00,10300.00
0,5770,5887,5646,5832,1800.00,10400.00
1,5506,5866,5491,5769,1900.00,10200.00
1,5403,5523,5395,5506,1500.00,9800.00
1,5351,5418,5348,5403,1400.00,9600.00
1,5248,5364,5225,5351,1400.00,9500.00
1,5285,5312,5217,5248,1400.00,9300.00
0,5272,5327,5256,5286,1300.00,9400.00
1,5280,5311,5234,5269,1400.00,9400.00
0,5211,5384,5178,5280,1700.00,9400.00
1,5467,5543,5182,5211,1600.00,9300.00
0,5572,5643,5419,5465,1800.00,9700.00
0,5400,5634,5390,5573,1600.00,9900.00
1,5313,5423,5281,5400,1500.00,9600.00
1,5336,5360,5258,5315,1400.00,9400.00
0,5305,5359,5296,5338,1400.00,9500.00
1,5299,5337,5234,5304,1400.00,9400.00
1,5252,5320,5251,5299,1400.00,9400.00
1,5237,5275,5220,5252,1300.00,9300.00
1,5067,5239,5056,5236,1200.00,9300.00
1,5168,5197,5025,5068,1300.00,9000.00
0,5096,5185,5054,5168,1100.00,9200.00
1,5089,5128,5062,5097,1100.00,9000.00
1,5062,5104,4956,5090,1400.00,9000.00
1,5326,5355,5018,5065,1700.00,9000.00
0,5205,5422,5194,5325,1600.00,9400.00
1,5290,5290,5168,5205,1500.00,9200.00
0,5200,5319,5149,5290,1800.00,9400.00
1,5063,5236,5051,5199,1700.00,9200.00
1,5037,5206,4993,5060,1700.00,9000.00
1,4923,5054,4920,5037,1700.00,8900.00
1,4972,5064,4837,4923,1900.00,8700.00
0,4880,5307,4877,4974,2300.00,8800.00
1,4157,4906,4156,4880,2200.00,8600.00
1,4106,4165,4097,4159,1100.00,7400.00
1,4106,4114,4095,4106,1000.00,7300.00
0,4093,4297,4054,4107,1000.00,7300.00
1,4069,4114,4035,4099,1100.00,7300.00
1,4088,4095,4041,4070,1000.00,7200.00
0,3985,4088,3978,4088,1100.00,7200.00
1,3970,3986,3945,3986,1100.00,7100.00
1,4025,4039,3935,3964,1100.00,7000.00
0,4036,4041,4007,4023,1000.00,7100.00
0,4023,4050,4016,4036,1000.00,7200.00
1,4029,4054,4022,4024,1000.00,7100.00
0,4084,4098,4006,4030,1100.00,7100.00
0,4071,4090,4032,4088,1100.00,7200.00
1,4033,4083,4024,4072,1000.00,7200.00
1,4030,4072,4010,4033,1000.00,7100.00
1,4048,4055,4007,4026,900.00,7100.00
0,3964,4078,3962,4049,1000.00,7200.00
1,3927,3969,3915,3961,1000.00,7000.00
1,3906,3947,3902,3925,1100.00,7000.00
1,3914,3927,3892,3907,1000.00,6900.00
0,3904,3927,3864,3910,1000.00,6900.00
1,3954,3967,3890,3906,1100.00,6900.00
0,3967,3967,3925,3952,1000.00,7000.00
0,3895,3988,3893,3964,1100.00,7000.00
1,3914,3951,3876,3902,1100.00,6900.00
0,3904,3940,3895,3912,1000.00,6900.00
1,3898,3920,3872,3904,1000.00,6900.00
1,3760,3904,3746,3897,1100.00,6900.00
1,3846,3868,3734,3762,1000.00,6700.00
0,3863,3876,3837,3848,800.00,6800.00
0,3856,3875,3833,3865,800.00,6800.00
1,3854,3908,3852,3860,800.00,6800.00
1,3849,3907,3846,3855,900.00,6800.00
1,3858,3889,3788,3852,900.00,6800.00
0,3879,3892,3838,3855,800.00,6800.00
0,3807,3914,3807,3883,1000.00,6900.00
1,4146,4211,3794,3811,1100.00,6700.00
0,3999,4167,3969,4143,900.00,7300.00
1,3953,4007,3951,4006,800.00,7100.00
1,4001,4011,3941,3955,800.00,7000.00
0,3947,4001,3927,4000,900.00,7100.00
1,3912,4011,3909,3948,1000.00,7000.00
1,3672,3937,3670,3916,1000.00,6900.00
1,3634,3681,3620,3674,800.00,6500.00
1,3616,3653,3616,3630,600.00,6400.00
1,3618,3648,3609,3621,700.00,6400.00
1,3632,3647,3608,3617,700.00,6400.00
0,3654,3670,3618,3633,700.00,6400.00
0,3643,3669,3619,3654,700.00,6500.00
1,3696,3696,3643,3649,700.00,6400.00
0,3674,3696,3641,3691,700.00,6500.00
1,3672,3680,3647,3672,700.00,6500.00
1,3402,3696,3392,3667,800.00,6500.00
1,3415,3428,3395,3400,600.00,6000.00
0,3470,3470,3399,3414,600.00,6000.00
0,3455,3479,3452,3467,600.00,6100.00
1,3468,3477,3443,3460,600.00,6100.00
0,3517,3522,3448,3465,600.00,6100.00
0,3485,3524,3468,3522,600.00,6200.00
1,3461,3502,3432,3488,600.00,6200.00
1,3486,3505,3448,3458,600.00,6100.00
0,3444,3496,3430,3487,600.00,6200.00
1,3469,3477,3401,3449,600.00,6100.00
0,3585,3587,3440,3471,700.00,6100.00
0,3605,3613,3568,3584,600.00,6300.00
0,3600,3655,3594,3603,600.00,6400.00
1,3608,3613,3576,3600,600.00,6400.00
0,3585,3617,3570,3601,600.00,6400.00
1,3606,3624,3566,3586,600.00,6300.00
0,3576,3621,3540,3605,600.00,6400.00
1,3601,3609,3559,3577,600.00,6300.00
0,3726,3744,3584,3602,600.00,6300.00
0,3653,3759,3653,3729,600.00,6600.00
1,3678,3683,3638,3658,600.00,6400.00
0,3652,3681,3622,3679,600.00,6500.00
1,3632,3686,3625,3656,600.00,6400.00
1,3705,3721,3620,3631,600.00,6400.00
0,3558,3728,3553,3707,600.00,6500.00
1,3659,3675,3545,3553,500.00,6300.00
0,3687,3699,3654,3662,500.00,6400.00
0,3675,3714,3654,3688,600.00,6500.00
1,4035,4065,3660,3679,700.00,6500.00
0,4032,4069,4023,4036,600.00,7100.00
1,4029,4110,3997,4031,600.00,7100.00
1,4079,4093,4021,4026,600.00,7100.00
0,3837,4094,3827,4077,600.00,7200.00
1,3852,3905,3837,3846,600.00,6800.00
0,3833,3866,3784,3858,500.00,6800.00
1,3932,3936,3827,3837,500.00,6700.00
0,3850,3948,3818,3944,600.00,6900.00
1,3747,3851,3708,3844,500.00,6800.00
